id,texto,costo
q_x1,¿Tiene variable_1?,1
q_x2,¿Tiene variable_2?,1
q_x3,¿Tiene variable_3?,1
q_x4,¿Tiene variable_4?,1
q_x5,¿Tiene variable_5?,1
q_x6,¿Tiene variable_6?,2
q_x7,¿Tiene variable_7?,2
q_x8,¿Tiene variable_8?,5
q_x9,¿Tiene variable_9?,1
q_x10,¿Tiene variable_10?,100
q_x11,¿Tiene variable_11?,1
q_x12,¿Tiene variable_12?,2
q_x13,¿Tiene variable_13?,1
q_x14,¿Tiene variable_14?,2
q_x15,¿Tiene variable_15?,1
q_x16,¿Tiene variable_16?,100
q_x17,¿Tiene variable_17?,0
q_x18,¿Tiene variable_18?,1
q_x19,¿Tiene variable_19?,100
q_x20,¿Tiene variable_20?,1
q_x21,¿Tiene variable_21?,1
q_x22,¿Tiene variable_22?,2
q_x23,¿Tiene variable_23?,5
q_x24,¿Tiene variable_24?,2
q_x25,¿Tiene variable_25?,100
q_x26,¿Tiene variable_26?,100
q_x27,¿Tiene variable_27?,1
q_x28,¿Tiene variable_28?,2
q_x29,¿Tiene variable_29?,5
q_x30,¿Tiene variable_30?,5
q_x31,¿Tiene variable_31?,2
q_x32,¿Tiene variable_32?,5
q_x33,¿Tiene variable_33?,0
q_x34,¿Tiene variable_34?,1
q_x35,¿Tiene variable_35?,100
q_x36,¿Tiene variable_36?,1
q_x37,¿Tiene variable_37?,2
q_x38,¿Tiene variable_38?,100
q_x39,¿Tiene variable_39?,0
q_x40,¿Tiene variable_40?,2
q_x41,¿Tiene variable_41?,0
q_x42,¿Tiene variable_42?,100
q_x43,¿Tiene variable_43?,0
q_x44,¿Tiene variable_44?,2
q_x45,¿Tiene variable_45?,100
q_x46,¿Tiene variable_46?,1
q_x47,¿Tiene variable_47?,2
q_x48,¿Tiene variable_48?,1
q_x49,¿Tiene variable_49?,2
q_x50,¿Tiene variable_50?,5
q_x51,¿Tiene variable_51?,2
q_x52,¿Tiene variable_52?,100
q_x53,¿Tiene variable_53?,100
q_x54,¿Tiene variable_54?,5
q_x55,¿Tiene variable_55?,100
q_x56,¿Tiene variable_56?,100
q_x57,¿Tiene variable_57?,1
q_x58,¿Tiene variable_58?,2
q_x59,¿Tiene variable_59?,1
q_x60,¿Tiene variable_60?,5
q_x61,¿Tiene variable_61?,1
