id,texto,costo
q_0,¿Pregunta relacionada a Variable 0?,2
q_1,¿Pregunta relacionada a Variable 1?,2
q_2,¿Pregunta relacionada a Variable 2?,2
q_3,¿Pregunta relacionada a Variable 3?,1
q_4,¿Pregunta relacionada a Variable 4?,3
q_5,¿Pregunta relacionada a Variable 5?,2
q_6,¿Pregunta relacionada a Variable 6?,1
q_7,¿Pregunta relacionada a Variable 7?,1
q_8,¿Pregunta relacionada a Variable 8?,1
q_9,¿Pregunta relacionada a Variable 9?,1
q_10,¿Pregunta relacionada a Variable 10?,3
q_11,¿Pregunta relacionada a Variable 11?,3
q_12,¿Pregunta relacionada a Variable 12?,1
q_13,¿Pregunta relacionada a Variable 13?,2
q_14,¿Pregunta relacionada a Variable 14?,3
q_15,¿Pregunta relacionada a Variable 15?,2
q_16,¿Pregunta relacionada a Variable 16?,2
q_17,¿Pregunta relacionada a Variable 17?,3
q_18,¿Pregunta relacionada a Variable 18?,2
q_19,¿Pregunta relacionada a Variable 19?,3
q_20,¿Pregunta relacionada a Variable 20?,3
q_21,¿Pregunta relacionada a Variable 21?,2
q_22,¿Pregunta relacionada a Variable 22?,2
q_23,¿Pregunta relacionada a Variable 23?,1
q_24,¿Pregunta relacionada a Variable 24?,3
q_25,¿Pregunta relacionada a Variable 25?,2
q_26,¿Pregunta relacionada a Variable 26?,3
q_27,¿Pregunta relacionada a Variable 27?,1
q_28,¿Pregunta relacionada a Variable 28?,1
q_29,¿Pregunta relacionada a Variable 29?,1
q_30,¿Pregunta relacionada a Variable 30?,1
q_31,¿Pregunta relacionada a Variable 31?,1
q_32,¿Pregunta relacionada a Variable 32?,1
q_33,¿Pregunta relacionada a Variable 33?,1
q_34,¿Pregunta relacionada a Variable 34?,1
q_35,¿Pregunta relacionada a Variable 35?,3
q_36,¿Pregunta relacionada a Variable 36?,2
q_37,¿Pregunta relacionada a Variable 37?,3
q_38,¿Pregunta relacionada a Variable 38?,3
q_39,¿Pregunta relacionada a Variable 39?,2
q_40,¿Pregunta relacionada a Variable 40?,2
q_41,¿Pregunta relacionada a Variable 41?,1
q_42,¿Pregunta relacionada a Variable 42?,2
q_43,¿Pregunta relacionada a Variable 43?,3
q_44,¿Pregunta relacionada a Variable 44?,1
q_45,¿Pregunta relacionada a Variable 45?,3
q_46,¿Pregunta relacionada a Variable 46?,2
q_47,¿Pregunta relacionada a Variable 47?,3
q_48,¿Pregunta relacionada a Variable 48?,3
q_49,¿Pregunta relacionada a Variable 49?,1
q_50,¿Pregunta relacionada a Variable 50?,1
q_51,¿Pregunta relacionada a Variable 51?,3
q_52,¿Pregunta relacionada a Variable 52?,2
q_53,¿Pregunta relacionada a Variable 53?,1
q_54,¿Pregunta relacionada a Variable 54?,3
q_55,¿Pregunta relacionada a Variable 55?,1
q_56,¿Pregunta relacionada a Variable 56?,1
q_57,¿Pregunta relacionada a Variable 57?,2
q_58,¿Pregunta relacionada a Variable 58?,3
q_59,¿Pregunta relacionada a Variable 59?,3
